instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
17.03483;221.7561;192.2300;189.6275;2526;221.6460;194.8194;191.6209;4907;220.0013;193.1461;187.9886;6146;221.0226;192.9005;188.6523;6873;220.1950;193.0208;188.7494;12664;214.1431;215.7170;222.6565;186;31;246;246
17.07169;223.8994;197.2044;194.3533;2525;223.3970;199.5496;196.0861;4829;218.2970;190.3430;185.4998;6199;220.4328;192.9532;188.7783;6918;219.7966;193.1607;188.9488;12632;214.3165;215.7515;222.5575;186;31;246;246
17.13362;222.1276;192.7476;189.1360;2492;221.7868;195.0739;191.2288;4790;220.6490;193.7911;188.6783;6080;221.5416;193.7081;189.0004;6786;220.6607;193.7204;189.1173;12459;214.4514;215.5910;222.4665;186;31;246;246
17.18333;222.1276;192.7476;189.1360;2492;221.7868;195.0739;191.2288;4790;220.6490;193.7911;188.6783;6080;221.5416;193.7081;189.0004;6786;220.6607;193.7204;189.1173;12459;214.4514;215.5910;222.4665;186;31;246;246
17.20253;222.1091;193.9169;191.0882;2540;221.6959;195.9860;192.6487;4851;219.0707;191.5995;186.3680;6168;220.0018;192.0359;187.6866;6831;219.6476;192.5688;188.1413;12608;214.1878;215.8962;222.6891;186;31;246;246
17.24532;222.1091;193.9169;191.0882;2540;221.6959;195.9860;192.6487;4851;219.0707;191.5995;186.3680;6168;220.0018;192.0359;187.6866;6831;219.6476;192.5688;188.1413;12608;214.1878;215.8962;222.6891;186;31;246;246
17.26773;222.6238;195.3990;190.7050;2549;222.5016;197.2890;192.3290;4799;219.1032;192.4938;187.1963;6088;220.5634;193.5900;188.4405;6883;220.1146;193.8747;188.8151;12454;214.6673;216.0874;222.7425;186;31;246;246
17.31677;222.6238;195.3990;190.7050;2549;222.5016;197.2890;192.3290;4799;219.1032;192.4938;187.1963;6088;220.5634;193.5900;188.4405;6883;220.1146;193.8747;188.8151;12454;214.6673;216.0874;222.7425;186;31;246;246
17.33684;221.5122;192.5800;189.1884;2505;221.3840;194.9897;191.0679;4742;220.2432;193.2430;188.3254;5946;220.8659;193.2478;188.8001;6800;220.2464;193.2384;188.7976;12221;214.1745;215.7543;222.5884;186;31;246;246
17.38280;221.5122;192.5800;189.1884;2505;221.3840;194.9897;191.0679;4742;220.2432;193.2430;188.3254;5946;220.8659;193.2478;188.8001;6800;220.2464;193.2384;188.7976;12221;214.1745;215.7543;222.5884;186;31;246;246
17.40460;223.4031;196.1111;194.1514;2503;223.0394;198.2150;195.2249;4772;218.5283;190.9041;186.3520;6207;220.2319;192.4946;188.9522;6826;219.8050;192.9621;189.0732;12467;214.3484;215.4603;222.3769;186;31;246;246
17.44969;221.5668;191.9873;189.3894;2514;221.3283;194.2584;191.3528;4736;221.0559;194.1513;188.7664;5954;221.3962;193.3941;189.0608;6709;220.6973;193.4410;189.0877;12223;214.6779;216.5075;223.2873;186;31;246;246
17.47183;221.5668;191.9873;189.3894;2514;221.3283;194.2584;191.3528;4736;221.0559;194.1513;188.7664;5954;221.3962;193.3941;189.0608;6709;220.6973;193.4410;189.0877;12223;214.6779;216.5075;223.2873;186;31;246;246
17.51773;222.5301;194.2917;190.8299;2492;222.2039;196.5892;192.7181;4747;218.3304;190.4382;186.0333;6066;220.0610;191.9257;187.8079;6782;219.4310;192.2301;188.1299;12358;214.1584;216.1007;222.7259;186;31;246;246
17.54014;222.4089;193.9649;190.5737;2536;222.5715;197.3820;193.3820;4775;218.7949;191.2625;186.7636;6041;220.1224;192.0473;187.9606;6808;219.5790;192.5455;188.3962;12386;214.1584;216.1007;222.7259;186;30;247;247
17.58005;222.9375;193.5285;190.8409;2577;223.0435;196.8715;193.3165;4786;218.9323;192.4178;187.2459;6075;220.4822;192.8022;188.5610;6925;220.0274;193.2650;188.8241;12419;214.5552;215.4891;222.4571;186;30;247;247
17.60158;223.2436;194.3798;191.4668;2549;223.0435;196.8715;193.3165;4786;218.9257;192.2967;187.1284;6120;220.5278;192.9195;188.5771;6921;220.0746;193.3499;188.9032;12448;214.5552;215.4891;222.4571;186;30;246;246
17.64084;221.9090;192.8952;190.0567;2538;221.5620;194.9922;191.7549;4868;220.0545;193.0234;187.8336;6112;220.8329;193.0554;188.6576;6857;220.1119;192.9464;188.6521;12614;214.0697;215.3844;222.2603;186;30;246;246
17.66153;223.7757;197.0761;193.3803;2577;223.4689;199.2783;194.8912;4873;218.2907;190.7166;186.2824;6136;220.4697;193.1280;188.9091;6889;220.1134;193.6718;189.2507;12502;214.4040;215.3943;222.2531;186;30;246;246
17.70099;223.7757;197.0761;193.3803;2577;223.4689;199.2783;194.8912;4873;218.2907;190.7166;186.2824;6136;220.4697;193.1280;188.9091;6889;220.1134;193.6718;189.2507;12502;214.4040;215.3943;222.2531;186;30;246;246
